Answer,Question,Source File,Sr.No,Option A,Option B,Option C,Option D
D,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 604 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 Baud Rate is measured in Bits per Bytes pe Bits per Bytes per ____________ second Second minute minute 2 Binary coding system 1 - 100 0 and 1 Alphabets Both consist of _________ alphanumeric 3 BMP means --------- Bit files Byte Files Bitmap Files Bios Files 4 box containing _______ is UPS CPU SMPS HDD called as cabinet. 5 Cache Memory is a TRUE FALSE Temporary Memory Below the Ruler Line, we can get a white colored rectangular area. This area called … … … … 6 Page Area Status bar Title Bar Menu Bar . 7 Bold, Italic, Regular are Font Styles Font Effects Word Art Text Effects known as 8 Border and shading is True False used to set text as a list 9 Borders can be applied for Cells Paragraph Text All of these _______________ 10 By default _____ line not scale ruler top None of these shown on the screen 11 If you want to sort data page layout right click on review tab -> click on view after selecting it in MS tab and click cell -> sort sorting data tab -> sort Excel 2019 which of the on sort button following is correct option ? 12 IF() function is used to TRUE FALSE place data according to any condition. 13 In MS Excel 2019 the font only cell only cell color of text only text color color option in font group border color background and its can change ___ color underline 14 In MS Excel 2019 which alignment cells group editing group Styles group group contains the ""clear"" group option ? 15 In MS Excel 2019 which alignment cells group editing group Styles group group contains the group AutoSum option ? Sr.No Question Option A Option B Option C Option D Provisional Ans. 16 Header and Footer Home Insert Transition View command is available in ___________ tab in PowerPoint 17 Header and Footer options Windows Insert Slide Show Format are given in __________ tab. 18 How can you insert bar Insert=> Insert=>Imag Edit=>Image Edit=>Chart graph in a presentation? Chart => Bar e 19 How can you see all your through slide through through slide through chart at once? view reading view sorter view normal view 20 How do you identify that a the object is The object is The object is The object is placeholder is active to highlighted not deleted replaced type text? highlighted 21 A domain name ending Educational Government Network Web Military Web with "".gov"" is ____________ Web Site Web Site Site Site 22 A domain name ending A network A An A government with "".org"" is ____________ site commercial organization Site site 23 A File download means Web Site to Computer to Server to Client to client moves a copy of file from computer Web Site server _________ 24 A File download means True False moves a copy of file on local host to remote host. A file having .JPG extension represents … … … … … … … 25 Audio Portable Video Image Document ..file. Format",BATCH_-_(604).pdf,,,,,
C,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 101 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 ------------ is an example of Linux WORD OS Complier application software. Processor 2 --------------- is used for CD Drive Floppy Drive Hard Drive Pen drive data reading on CD. 3 ----------- is used to Pen Drive Floppy Optical Disk All of Above transfer data from one computer to other computer. 4 -------------- types of Digital Analog Hybrid Logic computers does the data interpretation in form of 0 & 1. 5 _______________ is Hard Disk Memory Pen Drive All of these Secondary storage device Card 6 ctrl+s is used for delete Save open delete … … … … … … … … 7 is the FIL DOT DOC TXT extension of Word files? 8 Grammer mistakes does TRUE FALSE not checked by MS-Word 9 ___________ can you Press F8 Press Del to Press Esc to Press Enter to disable extended selection again to disable disable disable mode disable 10 ___________ item appears Water Color Background Watermark Back Color dimly behind the main body text 11 A Worksheet may contain TRUE FALSE many Workbook 12 _________ Collection is Worknote-Bo Work Chart Book Worksheet called as Workbook. ok Document 13 __________ Means Text Formula Number Cell instruction to perform Reference calculations. 14 ___________ Means in Programs Value Figures Functions built formula basically available in Excel. 15 .pptx is the extension of TRUE FALSE Power Point 16 Picture can be inserted File Insert Formulas Data from ________Tab Sr.No Question Option A Option B Option C Option D Provisional Ans. 17 _____________ keys is Help find search move used for Help option. 18 --------------------- to the text Highlight Font Color Shadow None of these can be given by using shadow command. 19 Presentation Webpage Processing Video MS- PowerPoint is useful for making ____________ at professional level. 20 ________ option used to View File Slide Show Window display ruler line. 21 All modems are located TRUE FALSE inside the computer. 22 ____________ Is a way of G-mail E-mail M-mail Google sending and receiving messages using a computer. 23 In Computer E-Mail is a Sending Copying Moving Downloading way of _________ messages. 24 Process of saving files to Uploading Downloading Installing Unzip your computer from the internet is called ____________ 25 ""HTML"" is acronym for Hypertext High Tone Hypertext None of the what? Markup Loop Modifier Markup above Loop Language",BATCH_-_(101).pdf,,,,,
A,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 602 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 An internet mail message 2 3 4 5 has ______ parts 2 Analytical engine could Graphics Calculations Multimedia None of these perform______ 3 ANSI stands for All New A national American None of these Small Small National Integration Institutes Standard Institute 4 Arithmetical process on Arithmetic & Logic Control Output information provided by Logic input unit is done by --------- unit 5 Arrow keys is also called Combination Navigation Addition Changing as ___________ 6 After clicking on______in Picture Paragraph text scroll bar document resizing handles are appeared around it 7 After Clicking with mouse Row Column Cell Table on top area of column in Table ___________ Will get selected. 8 All the letters of selected Upper case Lower case Toggle case change case matter are converted to small cases with____ 9 Alt+___ used for to close F1 F4 F3 F5 the active window. 10 Alt+P key is used for____ View tab home tab Page Layout Data tab active active Tab Active Active 11 Help option is available in Insert File View Tools _________ Menu 12 How many kinds of 3 5 6 4 Alignment are available in MS-Excel. 13 How many types of One Two Three Four Orientation are available in MS-Excel? 14 How many types of 4 3 2 horizontal horizontal alignments are alignments possible in MS Excel 2019 can not be ? done Sr.No Question Option A Option B Option C Option D Provisional Ans. 15 How many types of vertical 1 2 3 4 alignments are possible in MS Excel 2019 ? 16 From following which is not Normal Slide Master Slide Sorter Notes Page Presentation view? 17 From which menu you can View Design Home Insert access picture, Chart, Clip art etc. in PowerPoint? 18 From which tab we can Home View Insert Review insert a audio? 19 From which tab we can Insert Home View Review insert a SmartArt? 20 From which tab we can Home Insert Review View insert a video? … … … … … … 21 .. Software is System Application Virtual Compiler a software that basically makes the computer work. … … … … … … 22 ..is an Windows Linux Unix Spreadsheet application software. … … … … … … 23 ..is measured Computer Speed of Size of CPU Screen in pixels. memory RAM resolution … … … … … … 24 .computers Analog Digital Virtual Rational work on bits. 25 25MB attachment can be Gmail Google Word PowerPoint send through ____",BATCH_-_(602).pdf,,,,,
B,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 702 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 Characteristic of Faster Than Smaller In Both A And B None Of transistors __________ Vaccum Size Above Tubes 2 CHARACTERISTRIC OF Bulky Slow Never Became None of these I.C. is that it __________ Warm 3 Charater Printer is also Ink Jet Dot Matrix Laser Printers Plotters called as ____________ Priters Priters 4 Collection of 1024 GB data Terabyte Gigabyte Kilobytes Bytes only means 1 ---------- Data. 5 Collection of information Note File Word None Of stored in the computer is Above called as ____________ 6 Color and pattern used to Shape WordArt Fill Style Fill Back fill a closed shape is called _____ 7 control+home is used for TRUE FALSE Find and Replace 8 Copy and Paste operation TRUE FALSE can be used to move a block of text. 9 Ctrl + A _______ Select All Align Right Align Left Change Font 10 Ctrl + B ______ Search the Paste the Open file Bold the selected text selected text selected text 11 In Excel Short Cut key for Ctrl + Y Ctrl+ Z Ctrl + S Ctrl + X Redo is __________ 12 In Excel _______ Is present Border Gridline Graph Filter by Default 13 In Excel _____________ Text Formula Number Cell Reference Means instruction to perform calculations. 14 In Excel Normal Page Layout Print Layout Custom __________________ Is not type of View. 15 In Excel _________is not Normal Page Layout Print Layout Custom type of view 16 If you want all the Outline View Reading slide layout installed presentation to have same View design look then use _________ template Sr.No Question Option A Option B Option C Option D Provisional Ans. 17 Images cannot be deleted TRUE FALSE once added in a slide 18 In ---------------- view we Slide Sorter Normal Outline View Slide Show can see only one slide at a time and can do editing in the same. 19 In ----------- we can do Set up show Slide Rehearse Custom Rehearsal of the time Transition Timings Animation required for each slide. 20 In ................... we can see Outline Pane Slides Pane Notes page Slide Sorter all the slides in the presentation file in thumbnail view. 21 A website is a complete TRUE FALSE collection of pages and folders. Addition document included in an Email are commonly called … … 22 Postings Forums Attachments Links 23 All web addresses start smtp:// http:// ftp:// html:// with ____________ 24 All web addresses start TRUE FALSE with http:// 25 ALU stands for Arithmetic Arithmetic Addition Logic None of these ____________________ and Legal and Logical Unit Unit Unit",BATCH_-_(702).pdf,,,,,
B,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 703 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 Comparison process is Arithmetic Logical Binary Bits done in _________ Operations. 2 Compressed files are Zip Decompress Both A And B None Of required to _____________ Above before using. 3 Computer calculates TRUE FALSE numbers in binary number system 4 Computer can be used for Letter Typing Drawing Graphs All Of Above Making 5 Computer can have Small Data Ample Data Both A And B None Of __________ storage Above 6 Ctrl + I is used for Italic Left Indent Save Close _____________ Document Document 7 Ctrl + J is used for Align Justify Insert Search Print ____________ Hyperlink 8 Ctrl + L means New Close Right Indent Left Alignment ______________ Document Document 9 Ctrl + R is used for Re-Open the Re-Print the Re-Apply the Right align the ____________ last closed last printed last paragraph selected document page formatting Paragraph 10 Ctrl + S _______ Print Close Save As Save document document document In Excel … … … … … … 11 . Text Formula Number Cell Reference Means instruction to perform calculations. In Excel … … … … … … … … … 12 Normal Page Layout Print Layout Custom Is not type of View. In excel column are … … … … … … 13 Straight Curve Horizontal Shape 14 In Excel Ctrl + U Bold Italic Underline Paste Command is used for _____________ 15 In Excel Ctrl + X Copy Cut Search Paste Command is used for _____________ 16 In ....................... view you Slide Sorter Slide Master Outline View None of Above can rearrange the slides. View Sr.No Question Option A Option B Option C Option D Provisional Ans. 17 In ....................... view we Slide Sorter Normal Outline View Slide Show can see only one slide at a time and can do editing in the same. 18 In ______ you can view the Outline Slide Show Note Page Slide Sorter presentation with Transition and Animation effects. 19 In _________ view slide Slide sorter Normal Reading Slide show numbers gets displayed 20 In _________ view you can Slide Sorter Slide Master Outline View None of these rearrange the slides. View 21 An ______ Is a program Gmail Google Googletalk All of above that provides tools for Chrome accessing web sites. 22 An internet address is TRUE FALSE called WWW 23 An ISP connects you to the TRUE FALSE internet. 24 Analog computers produce TRUE FALSE more accurate and faster results. 25 Animation refers to a TRUE FALSE combination of text, graphics, sound animation and video.",BATCH_-_(703).pdf,,,,,
A,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 404 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 ______________ Is not a Speed Accuracy Low Storage Ample Storage characteristic of computer 2 _______________ Is placed Wallpaper Screen Taskbar None Of at the bottom of screen on Saver Above desktop. 3 ________________ Is Plotter Laser Solid Dot Matrix character printer. 4 _________________ is type Floppy Disk CD Hard disk Pen drive of optical Disk. Drive 5 ______________Device is Keyboard Mouse Scanner All Of Above used to draw diagrams, lines, circles etc. … … 6 .. tab is used to insert Insert Tools File Design the shapes into the document. … … 7 .. tab is used to insert Home Insert Data View the wordart into the document. … … 8 ... item is printed at the Header Foot Note Title Footer bottom of each page … … 9 ..can be used to set Ruler Status area status bar tool bar margins and indents in Document … … 10 ..option of table is sort merge add None of these used to arrange data in ascending order. 11 Cell in MS Excel 2019 is a intersection intersection intersection of None of these ____ of only rows of only rows and columns columns 12 CELL is a information TRUE FALSE function 13 Cell is the intersection of two cells workbook worksheet row and __________ column Cell Pointer is the … … … … 14 Thin Thick Long Outside .. Border around the Active Cell. 15 Cell value typed in Status Bar Formula Bar Title Bar None of these selected cell displayed in ________ Sr.No Question Option A Option B Option C Option D Provisional Ans. 16 Click on ............... option in Slide Layout Transition Animation New Slide slide group of Home Tab to create a new slide. 17 Clip Art command is Home Insert Transition View available in ___________ tab in PowerPoint 18 Clip Art Option is given in Edit Insert View Window ___________ Tab. 19 Clipart option is given in TRUE FALSE Edit Tab. 20 ClipArt option is given in TRUE FALSE Insert Tab. 21 __________________ is the SMTP HTTP FTP PPPT protocol, to transfer the data in the form of text 22 ______________________ Social Search Screeners Routers is used to search content networks engine online. 23 ______________________ Inbox Spam Trash Outbox Is used to view deleted E-Mails. 24 ______________________ Outbox Inbox Sent Spam Is used to view received E-Mails. 25 ______________________ Sent Mails Spam Trash Inbox Is used to view sent E-Mails.",BATCH_-_(404).pdf,,,,,
,MB = 1 - KB GB TB MB B _______________ 2,BATCH_-_(504).pdf,1024,,,,
D,Mega Byte = 1 Kilo Byte Yotta Byte Tera Byte Giga Byte D _________ 3 A folder can contain _____ Files Folder Both A and B None of above 4 A Internet is a combination website Sub network pictures protocol of ______ 5 A taskbar cannot be can be can be deleted None of above _______________ locked locked … … … 6 are the filter option AutoFilter CustomerFilt AdvanceFilter All the above er … … … 7 bar displays name of Menu Task Title status document with program name … … … 8 is the shortcut key CTRL+A CTRL+Z CTRL+Y CTRL+W for closing document in MS-Word … … … 9 is used for Toolbar Taskbar Stock chart None of these performing menu operations through GUI … … … 10 press when help F4 F3 F1 F2 dialog box is appear 11 Excel file Extension XLSX Microsoft Microsoft Web Page Microsoft means _____________ Excel Excel Office Workbook Template Workplace 12 Excel is generally used for TRUE FALSE data analysis in offices. 13 Excel is not generally used TRUE FALSE for data analysis in offices. 14 File name of current sheet Reference Title Bar Page On Cell is shown on Area ___________________ 15 Fill Command is provided Home Tools File Format in _________ Tab 16 F5 function key is used to Add slide start slide Delete slide end slide show __________ in PowerPoint show 17 Fade is a ____________ Background Action Animation Slide effect in PowerPoint Sr.No Question Option A Option B Option C Option D Provisional Ans. 18 File name is displayed at Menu Bar Status Bar Ribbons Title Bar _______ in PowerPoint. 19 Files of MS PowerPoint Document Spreadsheet File Presentation are called as ____________ 20 Fill Color is under Home Insert Design Review ____________ Tab in PowerPoint … … 21 .. is a worldwide LAN Internet World Wide Cyberspace system of network. Web … … 22 .. Key is used to see F1 F2 F3 F4 the list of the Typed Internet Addresses … … … 23 is brain of a CPU Input Unit Output Unit Memory Unit computer system. … … … 24 . is a world Wide LAN Cyberspace World Wide Intercom system of network. Web … … … 25 .. Is a free Email Yahoo Mail Rediff Mail Hot Mail All of the program that you can above access from any web browser.,BATCH_-_(504).pdf,1024,,,,
A,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 603 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 Arrow keys is also called TRUE FALSE as Navigation Keys Arrow keys on keyboard are called as … … … … 2 Toggle Keys Navigation Numeric None Of Keys Keypad Above 3 Artificial intelligence is Second Third Fourth Fifth incorporated in Generation Generation Generation Generation ______________ 4 Automation is one of the TRUE FALSE characteristics of computer 5 Backspace key is used Delete Text Add Text Pause Test Insert Test ________ 6 Any information that gets End note Foot note Header footer from page bottom is called____ 7 Arial, Times New Roman Word Art Font Styles Indents None of these are the examples of ___ 8 At the bottom of the vertical rectangular horizontal None of these Ms-Word we can see a______strip Background color or effects applied on a document is not visible in … … … 9 Reading Print Layout Web layout Print Preview View view view .. Preview. 10 Basic shapes comes Review View Insert Page Layout under______tab 11 Hyperlink is used to create TRUE FALSE link the sheet 12 IF is a database function. TRUE FALSE 13 IF is not a logical function TRUE FALSE 14 If we increase the height of Bottom Middle Up Down the row, the text matter automatically gets shifted to the ____ of the Cell 15 if you want to sort data page layout click on view data tab -> insert tab -> after selecting it in MS tab and click tab -> sort sort sort and filter Excel 2019 _______ is on sort button correct option 16 From which tab you can File Insert Home View access the slides layout? Sr.No Question Option A Option B Option C Option D Provisional Ans. 17 Group command is Font Paragraph Drawing Editing available in ___________ group in PowerPoint 18 Guides command is View File Slide Show Window chosen in the ................... Tab to display Guides 19 Header and Footer are not TRUE FALSE available in PowerPoint 20 Header and Footer are TRUE FALSE visible on each slide in PowerPoint 21",BATCH_-_(603).pdf,,,,,
C,"bits= ____________ 1 Byte 1024 Bytes 4 Bytes 1 Kilobytes A 22 A ______ is a program that MS Word www Web Browser Photoshop provides tools for accessing web sites. 23 A broadband connection is TRUE FALSE considered as ""Always On"" connection 24 A computer monitor is Register Microprocess Cathode Ray Transistor made up of or Tube _________________ A computer on internet are identified by … 25 email street IP Address None of the address address above",BATCH_-_(603).pdf,8,,,,
